dni;nombreapellido;telefono;email;fechanacimiento;profesor;bibliotecario;direccion;localidad_cp
45596254;Socorro Morales Guerrero;(205) 877-2303;jipsen@outlook.com;1986-06-25;FALSE;FALSE;PH82 4OY;75 Grange Road
23169148;Asunción Ágata Gutierrez Morera;(442) 997-2681;lahvak@optonline.net;1974-04-29;FALSE;FALSE;WESTERN CENTRAL LONDON;WC52 6DL
32036773;Jesús Frías Ibáñez;(200) 695-5178;mlewan@yahoo.com;1990-07-06;FALSE;FALSE;10 Kings Road;WORCESTER
32703683;Teodosio Niño Perez;(892) 339-6497;zwood@verizon.net;1982-07-30;FALSE;FALSE;WR45 4AU;80 The Grove
24610854;Susana Vizcaíno Nuñez;(719) 593-5606;kassiesa@hotmail.com;1995-01-16;FALSE;FALSE;MANCHESTER;M78 7CQ
54626227;Abilio Cuéllar Rovira;(719) 881-4363;rnewman@hotmail.com;1993-07-17;FALSE;FALSE;472 Mill Lane;READING
50776375;Adora Alberto Rebollo;(346) 442-6581;jaxweb@gmail.com;1970-09-10;FALSE;FALSE;RG6 1SR;55 Queens Road
51647554;Primitivo Jaén Garcés;(690) 340-6090;eidac@aol.com;1995-02-13;FALSE;FALSE;TORQUAY;TQ16 9DL
34783838;Delfina Donoso;(722) 742-7576;lishoy@gmail.com.uy;1996-04-11;FALSE;FALSE;80 Chester Road;HARROW
41734974;Julio Fuster Vigil;(449) 524-6231;delpino@aol.com;1995-03-16;FALSE;FALSE;HA62 8DU;320 Victoria Road
53921354;Cintia Carballo-Bayona;(703) 723-3874;catalog@att.net;1987-09-03;FALSE;FALSE;PAISLEY;PA13 7KA
36172830;Fortunata Pascual Ribas;(435) 239-5138;hoyer@hotmail.com;1988-01-06;FALSE;FALSE;304 Springfield Road;BRADFORD
32891280;Lilia Figuerola Bauzà;(580) 240-1515;esokullu@live.com;1977-08-26;FALSE;FALSE;BD84 2HP;51 Main Street
34465869;Pili Morell-Oliver;(650) 385-0635;heidrich@hotmail.com;1973-08-06;FALSE;FALSE;CHESTER;CH66 8CW
22783375;Estrella Peñas Benito;(243) 906-5992;kohlis@live.com;1982-08-26;FALSE;FALSE;28 London Road;HULL
49055243;María Ángeles Roura Carnero;(209) 297-3958;corrada@att.net;1987-07-05;FALSE;FALSE;HU74 4ER;44 Park Road
29159334;Violeta Violeta Lamas Sarabia;(966) 338-9815;chaffar@sbcglobal.net;1990-01-11;FALSE;FALSE;GUILDFORD;GU45 5EZ
47880323;Ruben Marquez Belda;(638) 925-5729;josem@hotmail.com;1981-09-22;FALSE;FALSE;597 New Street;DURHAM
47467511;Manola Perez;(681) 914-0083;jsmith@mac.com;1985-07-08;FALSE;FALSE;DH29 2KQ;69 The Drive
32926703;Rita Asensio Salgado;(354) 628-2294;hmbrand@hotmail.com;1990-02-02;FALSE;FALSE;DUMFRIES;DG73 0TH
45703728;Daniela Cabello Vallés;(888) 289-8104;corrada@gmail.com;1982-10-26;FALSE;FALSE;41 Victoria Street;LEICESTER
29806448;Nicolasa Aurelia Lasa Puig;(393) 626-4948;bryam@icloud.com;1979-03-31;FALSE;FALSE;LE96 5AZ;45 Station Road
44880494;Jonatan Trillo Larrañaga;(887) 262-0302;gmcgath@hotmail.com;1991-05-05;FALSE;FALSE;CHELMSFORD;CM60 7BF
42902068;Jose Francisco Alvarado Pombo;(462) 566-8729;fukuchi@yahoo.com;1999-06-17;FALSE;FALSE;48 Manor Road;LIVERPOOL
38720206;Samanta Casandra Borrell Maestre;(661) 929-3370;jshearer@mac.com;1970-01-23;FALSE;FALSE;L52 8LM;217 Park Lane
46480686;Emilia María Luisa Lluch Vives;(859) 862-4703;phish@live.com;1980-06-22;FALSE;FALSE;SUNDERLAND;SR69 9RW
34329588;Esteban Guillén Mena;(415) 981-0636;manuals@aol.com;1974-07-23;FALSE;FALSE;33 York Road;HUDDERSFIELD
33192167;Josué Rocha Juan;(563) 420-8118;meder@outlook.com;1993-01-31;FALSE;FALSE;HD3 3KR;44 Alexander Road
40850288;Encarnación Alemán-Prats;(462) 763-2017;gomor@icloud.com;1995-01-31;FALSE;FALSE;YORK;YO59 8CP
25922804;Celia Verdú Perez;(701) 212-8508;hauma@gmail.com;1990-08-09;FALSE;FALSE;24 Rock Maple Lane;Santa Ana, CA 92707
50446418;Espiridión del Viñas;(714) 278-0966;godeke@yahoo.ca;1983-08-19;FALSE;FALSE;376 South Griffin Street;Lancaster, CA 93535
53632225;Melania Lobato-Mena;(523) 677-7026;jdhedden@mac.com;1983-04-01;FALSE;FALSE;7172 Halifax St.;Huntington Beach, CA 92647
30120797;Sosimo Roig Bayo;(615) 522-3616;tbeck@gmail.com;1988-04-26;FALSE;FALSE;9530 Homewood St.;Palmdale, CA 93550
33012035;Abel Carrasco-Belda;(497) 402-3196;bryanw@outlook.com;1978-08-03;FALSE;FALSE;3 Sunset Street;Watsonville, CA 95076
26426655;Alicia Celestina Ibáñez Santana;(624) 360-5381;draper@me.com;1989-11-26;FALSE;FALSE;611 Linda Rd.;El Cajon, CA 92021
48907869;Conrado Torre;(417) 559-0451;anicolao@optonline.net;1993-08-10;FALSE;FALSE;7088 South Woodland St.;South San Francisco, CA 94080
38953071;Leoncio Pombo Nadal;(650) 230-0049;mxiao@comcast.net;1971-05-29;FALSE;FALSE;78 Hamilton St.;Los Angeles, CA 90022
43274714;Marcia Perez;(863) 238-8964;mleary@yahoo.ca;1995-11-14;FALSE;FALSE;7576 S. Prince Ave.;Compton, CA 90221
38358670;Aurelia del Ocaña;(340) 944-7011;louise@comcast.net;1972-09-22;FALSE;FALSE;8678 Glen Eagles Rd.;Los Angeles, CA 90042
52805759;Porfirio Cases Fabregat;(388) 447-0349;solomon@gmail.com;1978-12-12;FALSE;FALSE;7487 College Rd.;Carmichael, CA 95608
27700140;Maristela Mármol;(562) 364-8454;dgatwood@live.com;1999-10-15;FALSE;FALSE;8 Westminster Ave.;Anaheim, CA 92805
50790652;Leticia Azorin Cortina;(332) 349-8146;augusto@outlook.com.us;1999-09-22;FALSE;FALSE;92 Brickell Drive;Fountain Valley, CA 92708
50373369;Régulo de Sacristán;(286) 718-4373;rafasgj@msn.com;1975-08-20;FALSE;FALSE;503 Delaware Street;San Jose, CA 95123
22459397;Esteban del Múñiz;(397) 693-0198;solomon@yahoo.ca;1973-09-03;FALSE;FALSE;34 Anderson Ave.;Los Angeles, CA 90037
33324110;Trinidad Exposito Abella;(874) 698-3563;kildjean@aol.com;1997-03-18;FALSE;FALSE;8388 Water St.;Bakersfield, CA 93309
28291746;Pánfilo Ortiz Pardo;(633) 872-7554;andersbr@att.net;1974-03-17;FALSE;FALSE;373 Brickyard Avenue;Tustin, CA 92780
47915223;Glauco Llorens Álvarez;(799) 691-3758;moonlapse@sbcglobal.net;1987-01-05;FALSE;FALSE;834 Yukon Lane;Cupertino, CA 95014
43377329;Susanita Zaragoza Higueras;(625) 240-8609;schwaang@mac.com;1970-03-01;FALSE;FALSE;8324 South St.;Fremont, CA 94538
51367180;Ileana Asunción Beltran Samper;(677) 815-4415;geekoid@yahoo.ca;1997-12-28;FALSE;FALSE;8 White Ave.;Bakersfield, CA 93307
44506191;Chus Merino Casas;(368) 227-4620;plover@aol.com;1971-12-11;FALSE;FALSE;907 Inverness Dr.;North Hills, CA 91343
54332590;Carmina Cervera;(930) 420-2085;jhardin@hotmail.com;1979-04-18;FALSE;FALSE;12 Cypress Avenue;San Pablo, CA 94806
47385294;Curro Coello Izaguirre;(883) 797-3367;jdray@hotmail.com;1972-12-25;FALSE;FALSE;7313 Bohemia Street;San Diego, CA 92117
51963276;Mario Roldán;(616) 916-4936;euice@outlook.com;1977-05-01;FALSE;FALSE;8518 Hilldale Lane;Pomona, CA 91766
32424790;Jesusa Fuentes;(406) 344-3322;camenisch@yahoo.mx;1999-01-06;FALSE;FALSE;190 Sierra St.;Paramount, CA 90723
47741113;Óscar Dominguez Mayol;(323) 771-5959;lamky@hotmail.com;1973-12-20;FALSE;FALSE;95 Studebaker Street;Ontario, CA 91761
47950213;Angelino Contreras Pi;(898) 732-6602;alastair@att.net;1986-09-28;FALSE;FALSE;1 Highland Ave.;San Jose, CA 95122
47525250;Rafa Camino Perelló;(551) 404-1539;british@comcast.net;1994-10-28;FALSE;FALSE;5 West Henry Smith Street;San Francisco, CA 94110
51307519;Aura Vidal-Roma;(488) 349-4237;rddesign@icloud.com;1987-11-03;FALSE;FALSE;940 E. Primrose Ave.;Laguna Niguel, CA 92677
53843260;Lara Jordana Ballester Lladó;(296) 444-2189;heckerman@me.com;1974-08-13;FALSE;FALSE;8304 Van Dyke Avenue;Santa Ana, CA 92703
42328894;Aníbal Castelló Sarabia;(988) 961-4637;rasca@verizon.net;1992-03-04;FALSE;FALSE;86 Bradford Rd.;San Francisco, CA 94112
22540564;Adriana Higueras Ribes;(486) 549-5020;willg@sbcglobal.net;1980-05-07;FALSE;FALSE;3 Jefferson Dr.;Van Nuys, CA 91406
51747342;Ernesto Cuadrado Mesa;(868) 892-8961;bryam@verizon.net;1987-03-14;FALSE;FALSE;79 Rocky River Ave.;Reseda, CA 91335
34234749;Estela Ponce-Losada;(473) 875-0023;padme@hotmail.com;1997-01-24;FALSE;FALSE;38 Johnson St.;Fremont, CA 94536
46785506;Luis Miguel del Tapia;(700) 958-6128;damian@hotmail.com;1971-09-05;FALSE;FALSE;7652 West Wakehurst Drive;Garden Grove, CA 92840
25445638;Elpidio Agullo Tejero;(696) 679-7702;tangsh@me.com;1988-08-02;FALSE;FALSE;7075 Lake Forest Rd.;Bellflower, CA 90706
48686491;María Carmen Ródenas Acosta;(250) 248-4300;yamla@outlook.com;1970-09-26;FALSE;FALSE;619 Pleasant St.;Lynwood, CA 90262
22846382;Lucas Vendrell Valverde;(834) 508-9490;rbarreira@optonline.net;1987-12-11;FALSE;FALSE;8026 New Saddle St.;San Diego, CA 92105
28084685;Gerardo Tomé Real;(503) 283-5457;jrifkin@verizon.net;1997-06-05;FALSE;FALSE;275 Rock Maple Avenue;Huntington Beach, CA 92646
43172520;Elías Sacristán Vázquez;(461) 976-3596;dmouse@sbcglobal.net;1998-01-31;FALSE;FALSE;404 Railroad St.;Oxnard, CA 93030
31989611;Victoriano Valencia Coloma;(398) 272-4739;tubajon@comcast.net;1998-06-05;FALSE;FALSE;441 Court Dr.;Sunnyvale, CA 94087
39849379;Vera Ribes-Cases;(279) 586-2100;tjensen@att.net;1996-10-11;FALSE;FALSE;9 South Theatre Ave.;Sacramento, CA 95828
23661918;Ligia Moya Calleja;(988) 433-7129;tristan@live.com;1980-09-29;FALSE;FALSE;674 Van Dyke Drive;Pittsburg, CA 94565
36841715;Evangelina Barragán Castell;(357) 352-8928;crandall@sbcglobal.net;1996-01-29;FALSE;FALSE;234 W. Riverside St.;South Gate, CA 90280
53541203;Florencia Domitila Castell Mendizábal;(240) 852-8613;bester@outlook.com;1995-12-05;FALSE;FALSE;916 E. Cactus Ave.;Indio, CA 92201
46233720;Javier Arellano-Murcia;(403) 855-3645;world@yahoo.ca;1999-04-02;FALSE;FALSE;218 Lake St.;Vallejo, CA 94591
39244205;Aurelia Sans Oller;(593) 356-1838;staikos@sbcglobal.net;1991-11-13;FALSE;FALSE;861 Oakland St.;Chula Vista, CA 91911
30510051;Teodora Jerez Tormo;(433) 213-5953;kludge@comcast.net;1994-09-22;FALSE;FALSE;8356 Bank Ave.;Chula Vista, CA 91910
35275290;Cornelio Noguera Lluch;(669) 290-1610;paulv@sbcglobal.net;1992-05-01;FALSE;FALSE;9754 Brookside Street;Sacramento, CA 95823
52414218;Carla Serna Montalbán;(472) 605-7532;jgmyers@sbcglobal.net;1999-05-05;FALSE;FALSE;8718 Chapel Drive;Rosemead, CA 91770
25332051;Macarena Valeria Feliu Mayol;(287) 839-5879;josephw@hotmail.com;1986-07-03;FALSE;FALSE;9029 Bellevue Drive;San Bernardino, CA 92404
54140030;Jacinta Paz Domingo Rivas;(622) 903-6022;sopwith@att.net;1999-01-28;FALSE;FALSE;277 Halifax Dr.;Colton, CA 92324
36874078;Victor Manuel Tejedor Nevado;(797) 421-8320;sharon@att.net;1986-11-06;FALSE;FALSE;7889 Chapel Street;Ontario, CA 91762
24443775;Blanca Molina Francisco;(478) 658-1534;ntegrity@msn.com;1977-06-02;FALSE;FALSE;487 East 6th St.;Canyon Country, CA 91351
32707209;Jonatan Fonseca Quevedo;(671) 615-3675;dgriffith@aol.com;1981-12-22;FALSE;FALSE;51 Coffee St.;Oxnard, CA 93033
30042233;Humberto Vila;(713) 795-1422;qrczak@verizon.net;1995-03-03;FALSE;FALSE;9586 Sycamore Dr.;Livermore, CA 94550
23109570;Isaura Fuentes Guardiola;(201) 705-6808;bruck@live.com;1988-04-16;FALSE;FALSE;801 SW. Prairie St.;Cerritos, CA 90703
52983968;Rufina Vargas Andres;(322) 327-1204;camenisch@yahoo.ca;1979-09-04;FALSE;FALSE;830 High Point Court;Hayward, CA 94544
37765036;Reinaldo Barral Lago;(644) 469-5761;mjewell@comcast.net;1984-06-03;FALSE;FALSE;791 Silver Spear Street;National City, CA 91950
54400917;Jose Ignacio Vila-Rios;(674) 440-0703;daveed@optonline.net;1991-04-06;FALSE;FALSE;8882 Old Smith Ave.;Oceanside, CA 92056
37389176;Roberto Cánovas Segura;(640) 568-2625;quantaman@hotmail.com;1998-02-18;FALSE;FALSE;970 Myers Street;Oceanside, CA 92054
36628635;Rómulo Ortega-Giner;(409) 889-4836;szymansk@gmail.com;1980-01-03;FALSE;FALSE;948 Railroad Avenue;Unit 2
29941555;Gastón Leon Solana;(359) 210-8594;jemarch@yahoo.ca;1971-04-01;FALSE;FALSE;San Diego, CA 92114;7069 Andover St.
38103929;Emilia Jove-Ropero;(474) 494-9364;rhialto@msn.com;1986-10-11;FALSE;FALSE;Pico Rivera, CA 90660;81 Morris Drive
44331514;Calixto Pinedo Torrijos;(681) 820-0747;flakeg@comcast.net;1993-07-05;FALSE;FALSE;Los Angeles, CA 90001;8785 Marconi Road
41321038;Ciro Ledesma Bru;(921) 657-7404;rnewman@optonline.net;1982-03-13;FALSE;FALSE;Modesto, CA 95350;632 Manor Ave.
22434167;Dora del Segarra;(451) 889-2527;jshearer@yahoo.ca;1977-06-16;FALSE;FALSE;Simi Valley, CA 93065;51 College Street
37879892;Juan Bautista de Salazar;(487) 654-5535;tubesteak@msn.com;1977-01-30;FALSE;FALSE;Los Angeles, CA 90004;198 Ramblewood Drive
48837301;Narciso del Anaya;(243) 692-9341;jsnover@gmail.com;1998-10-20;FALSE;FALSE;Folsom, CA 95630;13 E. Walnut St.
50414808;Martirio Reina Malo Alonso;(726) 607-0923;chrwin@live.com;1993-12-25;FALSE;FALSE;Tulare, CA 93274;7792 Anderson Lane
41797071;Maximiliano Maestre Mendizábal;(861) 258-0892;jadavis@msn.com;1987-07-28;FALSE;FALSE;San Francisco, CA 94109;7728 Mayfield Drive
26345733;Noa Dominguez-Llorente;(514) 904-4726;stevelim@gmail.com;1977-09-05;FALSE;FALSE;Tracy, CA 95376;8704 Thatcher St.
